P,X,Y,Z,ClockCorrection
1,-269.532643,26532.221664,846.664378,327.70469
2,-13921.312596,10520.761476,20752.821243,-267.71832
3,-12326.751321,15206.397992,17758.875353,82.554017
4,23758.305705,-3532.640023,-11657.45403,-55.795482
5,-1428.398016,-17332.85933,-20235.97643,15.814871
6,-7025.109693,-23928.32525,9124.189093,-3.370039
7,15170.34102,7079.532212,-20256.74024,628.0407
8,19782.854274,3245.082489,17378.913538,374.19783
9,9944.836572,-19167.47777,-15629.272222,-28.244672
10,16224.803882,-6015.262066,20185.971412,38.763281
11,-7231.109895,20088.661663,-15720.347887,93.740412
13,7552.188114,22602.321033,11771.590046,-31.37338
14,-14601.359621,-4718.590548,-21626.770224,-17.999775
15,-23417.538287,1620.000179,12425.564388,220.459077
16,-19961.460539,2451.5415,17419.974093,16.22365
17,16522.731431,-16233.846553,12453.184033,158.189733
18,-18416.97857,-17912.474727,7187.46586,-9.346064
20,5007.020383,18038.864442,-18905.895774,-190.4601
21,-11894.023022,-10766.162201,21172.848846,71.69696
22,-23415.123106,-11372.829322,-4988.669229,-64.409102
23,-23120.756102,-7264.657268,-10384.266621,193.634809
24,23421.977859,-12587.441505,999.47231,1.082002
25,-23439.440503,7765.749312,-9378.26501,59.986757
26,8280.855184,-21834.204352,11796.81257,438.357062
27,9544.474137,12516.604254,21878.727396,904.278761
28,23778.331469,11792.22525,-2950.281325,17.566971
29,11084.189973,-17544.287597,16816.826251,219.492982
30,-14599.11422,-18439.45765,-12670.400747,767.271267
31,-4797.792998,24602.555934,7926.522039,135.888877
